Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
5,HYP,4,0.0032,0.3392,0,1.4816,2,0.0096,0
5,junipho,3,0.0024,0.2544,0,1.1112,1,0.0072,0
5,koelerval,5,0.004,0.424,0,1.852,1,0.012,0
5,LINU,10,0.008,0.848,0,3.704,5,0.024,0
5,lygi,463,0.3704,39.2624,48,NA,NA,1.1112,0
5,malcomia,16,0.0128,1.3568,0,5.9264,6,0.0384,0
5,MATIOLA,2,0.0016,0.1696,1,0.7408,0,0.0048,0
5,NEATOS,1,0.0008,0.0848,0,0.3704,1,0.0024,0
5,PLAFRA,18,0.0144,1.5264,1,6.6672,6,0.0432,0
5,PLAL,2,0.0016,0.1696,0,0.7408,0,0.0048,0
5,poabul,5,0.004,0.424,2,1.852,5,0.012,0
5,ROME,170,0.136,14.416,4,62.968,38,0.408,2
5,save,3,0.0024,0.2544,0,1.1112,0,NA,NA
5,SEDU,28,0.0224,2.3744,0,10.3712,15,0.0672,0
5,sisymbrium,1,0.0008,0.0848,0,0.3704,1,0.0024,0
5,sonchus,1,0.0008,0.0848,0,0.3704,0,0.0024,0
5,SPERGULA,4,0.0032,0.3392,1,1.4816,2,0.0096,0
5,STIPALAG,84,0.0672,7.1232,10,31.1136,23,0.2016,0
5,STIPAR,35,0.028,2.968,1,12.964,9,0.084,0
5,taraxa,1,0.0008,0.0848,0,0.3704,1,0.0024,0
5,TEUCAP,16,0.0128,1.3568,1,5.9264,10,0.0384,0
5,thapsia,5,0.004,0.424,1,1.852,4,0.012,0
5,THYMUVU,75,0.06,6.36,3,27.78,33,0.18,0
5,trigomon,1,0.0008,0.0848,1,0.3704,0,0.0024,0
6,aizon,2,0.001598721,0.2126,0,0.6124,0,0.024,0
6,alyaly,2,0.001598721,0.2126,0,0.6124,2,0.024,0
6,anacyclu,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,ANAGA,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,ARTIBA,133,0.106314948,NA,NA,40.7246,35,1.596,0
6,asphoce,7,0.005595524,0.7441,0,2.1434,7,0.084,0
6,ASTER,9,0.007194245,0.9567,0,2.7558,8,0.108,0
6,ASTRAG,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,astrase,2,0.001598721,0.2126,0,0.6124,2,0.024,0
6,avebro,28,0.022382094,2.9764,3,8.5736,14,0.336,0
6,avena,11,0.008792966,1.1693,4,3.3682,4,0.132,0
6,BRADI,2,0.001598721,0.2126,0,0.6124,0,0.024,0
6,BRARE,62,0.049560352,6.5906,1,18.9844,7,0.744,4
6,BRORU,4,0.003197442,0.4252,1,1.2248,2,0.048,0
6,buplefru,10,0.007993605,1.063,0,3.062,1,0.12,0
6,BUPLEU,1,0.000799361,0.1063,0,0.3062,0,0.012,0
